"xoxo, Gaga"
i,448
be,155
thank,137
time,103
amp,87
joanne,85
im,81
music,78
world,77
love,74
today,73
day,71
night,70
gaga,59
life,57
show,54
see,53
song,51
album,50
get,48
love,48
tonight,47
wait,46
w,46
jazz,46
performance,44
cheek,42
tony,41
u,40
lady,38
year,35
cheek,35
i,34
cheektocheek,34
watch,33
friend,31
way,31
family,30
do,30
dress,29
watch,29
everyone,29
baby,28
perfectillusion,28
monster,28
youre,27
video,27
birthday,27
look,26
itstonybennett,26
anything,25
btwfoundation,24
have,23
make,23
morning,23
heart,23
fashion,23
take,23
hotel,22
moment,21
girl,21
vote,21
thing,21
go,20
artpop,20
work,19
country,19
party,19
art,19
cover,19
mom,18
feel,18
share,18
give,18
hair,17
dont,17
come,17
makeup,17
say,17
asia,17
ayo,17
man,17
stage,16
someone,16
everything,16
thanku,16
fun,16
interview,16
woman,15
nothing,15
kindness,15
message,15
part,15
forget,15
know,15
bang,15
perform,15
kind,14
hear,14
dream,14
