Name,Handle
Katy Perry,@katyperry
Justin Bieber,@justinbieber
Barack Obama,@BarackObama
Taylor Swift,@taylorswift13
Rihanna,@rihanna
YouTube,@YouTube
Ellen DeGeneres,@TheEllenShow
"xoxo, Gaga",@ladygaga
Twitter,@Twitter
Justin Timberlake,@jtimberlake
Britney Spears,@britneyspears
Cristiano Ronaldo,@Cristiano
Kim Kardashian West,@KimKardashian
CNN Breaking News,@cnnbrk
Selena Gomez,@selenagomez
jimmy fallon,@jimmyfallon
Ariana Grande,@ArianaGrande
Shakira,@shakira
Demi Lovato,@ddlovato
Jennifer Lopez,@JLo
Instagram,@instagram
Oprah Winfrey,@Oprah
The New York Times,@nytimes
Drizzy,@Drake
LeBron James,@KingJames
Bill Gates,@BillGates
CNN,@CNN
Miley Ray Cyrus,@MileyCyrus
SportsCenter,@SportsCenter
One Direction,@onedirection
BBC Breaking News,@BBCBreaking
ESPN,@espn
Harry Styles.,@Harry_Styles
Lil Wayne WEEZY F,@LilTunechi
P!nk,@Pink
Narendra Modi,@narendramodi
Niall Horan,@NiallOfficial
Wiz Khalifa,@wizkhalifa
Bruno Mars,@BrunoMars
Neymar Jr,@neymarjr
Donald J. Trump,@realDonaldTrump
Adele,@Adele
KANYE WEST,@kanyewest
Kaka,@KAKA
Neil Patrick Harris,@ActuallyNPH
daniel tosh,@danieltosh
Alicia Keys,@aliciakeys
NBA,@NBA
Louis Tomlinson,@Louis_Tomlinson
Emma Watson,@EmmaWatson
Liam,@LiamPayne
Khloé,@khloekardashian
NASA,@NASA
Real Madrid C. F.,@realmadrid
Conan O'Brien,@ConanOBrien
Salman Khan,@BeingSalmanKhan
Kourtney Kardashian,@kourtneykardash
NFL,@NFL
Kendall,@KendallJenner
David Guetta,@davidguetta
FC Barcelona,@FCBarcelona
Marshall Mathers,@Eminem
NICKI MINAJ,@NICKIMINAJ
Avril Lavigne,@AvrilLavigne
Aamir Khan,@aamir_khan
Kylie Jenner,@KylieJenner
The Economist,@TheEconomist
Coldplay,@coldplay
Chris Brown,@chrisbrown
BBC News (World),@BBCWorld
Blake Shelton,@blakeshelton
Ed Sheeran,@edsheeran
Deepika Padukone,@deepikapadukone
ashton kutcher,@aplusk
Mariah Carey,@MariahCarey
Google,@Google
PMO India,@PMOIndia
Reuters Top News,@Reuters
Leonardo DiCaprio,@LeoDiCaprio
Akshay Kumar,@akshaykumar
د. محمد #العريفي,@MohamadAlarefe
Ricky Martin,@ricky_martin
PRIYANKA,@priyankachopra
National Geographic,@NatGeo
Hrithik Roshan,@iHrithik
أحمد الشقيري,@shugairi
President Trump,@POTUS
Vine Creators,@VineCreators
Snoop Dogg,@SnoopDogg
Christina Aguilera,@xtina
Alejandro Sanz,@AlejandroSanz
Ryan Seacrest,@RyanSeacrest
العربية عاجل,@AlArabiya_Brk
Andrés Iniesta,@andresiniesta8
sachin tendulkar,@sachin_rt
Twitter LatAm,@TwitterLatAm
Kevin Durant,@KDTrey5
Ivete Sangalo,@ivetesangalo
President Obama,@POTUS44
د. عائض القرني,@Dr_alqarnee
